date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2024-08-06,6.073471317257058,4.293213106552047,8.016926303757685,4299740219
2024-08-07,6.147619625260818,4.152839622755955,8.096833023742349,4299740219
2024-08-08,6.221767933264578,4.387911860463038,8.117757340763017,4299740219
2024-08-09,6.295916241268337,4.339707724592244,8.120452356998296,4299740219
2024-08-10,6.370064549272097,4.443247865867955,8.213765963548918,4299740219
2024-08-11,6.444212857275858,4.6232910446497355,8.362909494245889,4299740219
2024-08-12,6.518361165279618,4.551770952866267,8.573628259039397,4299740219
2024-08-13,6.592509473283378,4.683777871976309,8.549899403328341,4299740219
2024-08-14,6.666657781287137,4.701668414418179,8.516457449358096,4299740219
2024-08-15,6.740806089290897,4.784909362158921,8.654295740183922,4299740219
2024-08-16,6.814954397294658,4.824825781950206,8.702720439437599,4299740219
2024-08-17,6.889102705298418,4.883938635367435,8.7799045498802,4299740219
2024-08-18,6.963251013302177,5.10556477325885,8.945188528800731,4299740219
2024-08-19,7.037399321305939,5.091426862283066,8.958945819794684,4299740219
2024-08-20,7.1115476293096975,5.310906127845465,9.190545289993825,4299740219
2024-08-21,7.185695937313458,5.321155033082485,9.10016491013702,4299740219
2024-08-22,7.259844245317218,5.323940490861348,9.172667242092405,4299740219
2024-08-23,7.333992553320979,5.376882843702639,9.319474460199848,4299740219
2024-08-24,7.408140861324737,5.470078129982176,9.141749470299203,4299740219
2024-08-25,7.482289169328498,5.616391616345123,9.284926623070357,4299740219
2024-08-26,7.556437477332258,5.533756750771371,9.344324533595273,4299740219
2024-08-27,7.630585785336018,5.782434460346251,9.567481050154306,4299740219
2024-08-28,7.704734093339779,5.928548333049737,9.565771077250611,4299740219
2024-08-29,7.778882401343537,5.686315906488958,9.682623534733404,4299740219
2024-08-30,7.853030709347298,5.823733456385606,9.847940829844811,4299740219
2024-08-31,7.927179017351058,5.816355289842633,9.955461300720286,4299740219
2024-09-01,8.001327325354818,5.993671255298245,10.020249976621118,4299740219
2024-09-02,8.075475633358577,6.2171100165236055,9.996635514138273,4299740219
2024-08-20,11.826629192312172,11.82662919182574,11.826629192757544,42997420495
2024-08-21,10.971153708039743,10.971153707443154,10.971153708666563,42997420495
2024-08-22,10.115678223767315,10.11239678294068,10.11909324331283,42997420495
2024-08-23,9.260202739494883,9.250740010453075,9.270099024797327,42997420495
2024-08-24,8.404727255222461,8.382265993327847,8.42443470507602,42997420495
2024-08-25,7.549251770950027,7.512313567736228,7.582083846979977,42997420495
2024-08-26,6.693776286677599,6.646172753862511,6.740171357408574,42997420495
2024-08-27,5.838300802405167,5.772661163270561,5.903343723124038,42997420495
2024-08-28,4.982825318132743,4.90006533503925,5.066584369920779,42997420495
2024-08-29,4.127349833860311,4.025447256088257,4.230339961348779,42997420495
2024-08-30,3.2718743495878826,3.1432119073620934,3.3935899548710955,42997420495
2024-08-31,2.416398865315461,2.2607993270105826,2.5642641523644474,42997420495
2024-09-01,1.5609233810430272,1.3801815728133318,1.740643074820933,42997420495
2024-09-02,0.7054478967706004,0.5013646016835046,0.9066318089365406,42997420495
2024-09-03,-0.1500275875018282,-0.38654819589112527,0.06996567112802927,42997420495
2024-09-04,-1.005503071774255,-1.2753135118509578,-0.7652528111887196,42997420495
2024-09-05,-1.860978556046689,-2.1567818788238515,-1.6009024281428874,42997420495
2024-09-06,-2.7164540403191104,-3.036981382865519,-2.426575873166782,42997420495
2024-09-07,-3.5719295245915426,-3.9287464318285155,-3.2517932910817353,42997420495
2024-09-08,-4.427405008863971,-4.812099109310489,-4.0784576522676215,42997420495
2024-09-09,-5.2828804931364,-5.710219614633691,-4.899575520997506,42997420495
2024-09-10,-6.138355977408828,-6.591277857978361,-5.712515727470523,42997420495
2024-09-11,-6.9938314616812605,-7.497026645355052,-6.521600836777106,42997420495
2024-09-12,-7.849306945953682,-8.387860788895864,-7.3463155302667165,42997420495
2024-09-13,-8.70478243022611,-9.272463683666587,-8.170025267364165,42997420495
2024-09-14,-9.56025791449854,-10.168145546649333,-8.980016564408404,42997420495
2024-09-15,-10.415733398770964,-11.067284930540941,-9.798764453643058,42997420495
2024-09-16,-11.271208883043403,-11.954018081138397,-10.62070072657899,42997420495
2024-08-27,19.12019934627497,19.120199342085172,19.120199350468795,42997430687
2024-08-28,16.240396211947,16.240396201919,16.240396222085522,42997430687
2024-08-29,13.36059307761904,13.36059304956744,13.360593105901994,42997430687
2024-08-30,10.480789943291072,10.480789889819112,10.480790000259045,42997430687
2024-08-31,7.600986808963114,7.600986715791809,7.6009868972613965,42997430687
2024-09-01,4.721183674635142,4.721183543158792,4.721183799968819,42997430687
2024-09-02,1.8413805403071848,1.8413803643904771,1.8413807017135089,42997430687
2024-09-03,-1.0384225940207727,-1.0384228132337001,-1.0384223988970334,42997430687
2024-09-04,-3.9182257283487374,-3.918226016283248,-3.9182254909816847,42997430687
2024-09-05,-6.798028862676702,-6.798029204501312,-6.798028565127131,42997430687
2024-09-06,-9.677831997004674,-9.677832413704325,-9.67783164742138,42997430687
2024-09-07,-12.557635131332631,-12.557635599468156,-12.55763472919675,42997430687
2024-09-08,-15.437438265660589,-15.437438778341244,-15.43743779911122,42997430687
2024-09-09,-18.31724139998856,-18.317241991989217,-18.3172408738401,42997430687
2024-09-10,-21.197044534316518,-21.197045189881056,-21.197043949717436,42997430687
2024-09-11,-24.076847668644476,-24.076848385854074,-24.076847022738473,42997430687
2024-09-12,-26.956650802972433,-26.95665159649342,-26.95665006183158,42997430687
2024-09-13,-29.836453937300405,-29.836454798980565,-29.836453116796836,42997430687
2024-09-14,-32.71625707162838,-32.71625799196736,-32.71625618464558,42997430687
2024-09-15,-35.596060205956334,-35.596061194528495,-35.596059245035605,42997430687
2024-09-16,-38.47586334028429,-38.47586438892269,-38.47586234044942,42997430687
2024-09-17,-41.35566647461226,-41.35566760635964,-41.35566539451784,42997430687
2024-09-18,-44.23546960894022,-44.23547081681292,-44.2354684463655,42997430687
2024-09-19,-47.11527274326819,-47.11527404914422,-47.11527149360927,42997430687
2024-09-20,-49.995075877596136,-49.99507729168594,-49.99507454130407,42997430687
2024-09-21,-52.87487901192411,-52.874880484914485,-52.874877606766375,42997430687
2024-09-22,-55.754682146252065,-55.75468372512851,-55.754680657986576,42997430687
2024-09-23,-58.63448528058002,-58.6344869777712,-58.63448369826608,42997430687
